Transcript_ID	Gene_ID	Biotype	Translated_sample_number	Transcribed_sample_number	Translated_samples	Transcribed_samples
ENST00000287275.5	ENSG00000156689.6	protein_coding	1	14	SRR1803151	SRR1562539,SRR1562541,SRR1562543,SRR935448,SRR935449,SRR1042900,SRR627620,SRR627621,SRR627625,SRR810100,SRR1630831,SRR1758378,SRR1758379,SRR3208871
ENST00000314144.9	ENSG00000132141.13	protein_coding	13	1	SRR1803151,SRR1562540,SRR970565,SRR970588,SRR1976445,SRR1976446,SRR627625,SRR810100,SRR1758378,SRR1758379,SRR3208865,SRR3208885,SRR3208898	SRR1042900
ENST00000222982.8	ENSG00000106258.13	protein_coding	1	3	SRX870805	GSE48933,SRR1976447,SRR810100
ENST00000619750.1	ENSG00000254245.2	protein_coding	4	1	SRR1562540,SRR1562541,SRR627625,SRR1758378	SRR1042900
ENST00000529997.5	ENSG00000173898.11	protein_coding	26	1	SRX474113,SRR1551165,SRR1562540,SRR1562542,SRX870804,SRR403889,SRR970538,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR1630831,SRR3130941,SRR3208864,SRR3208870,SRR3208886,SRR3208897,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR627620
ENST00000389840.6	ENSG00000187775.16	protein_coding	16	2	SRR1803147,SRR1803151,SRR1803153,SRR1803188,SRR1803190,SRR1562540,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1507056,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1173905,SRR403889
ENST00000346477.7	ENSG00000105492.15	protein_coding	1	1	SRR1803151	SRR1173905
ENST00000523831.1	ENSG00000253666.1	antisense	1	7	SRR1803147	SRR1551155,SRR1562542,SRR931815,SRR970490,SRR970587,SRR970588,SRR3680968
ENST00000409160.7	ENSG00000144485.10	protein_coding	20	2	SRR1551165,SRR1562542,SRR1562543,SRR931815,SRX870805,SRR970490,SRR970538,SRR970565,SRR1976445,SRR1976447,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR403889,SRR627621
ENST00000536616.5	ENSG00000185681.12	protein_coding	3	1	SRR3208865,SRR3208870,SRR3208898	SRR1562539
ENST00000439461.5	ENSG00000196214.10	protein_coding	38	1	SRX474113,SRR1803147,SRR1803151,SRR1803186,SRR1803188,SRR1803190,SRR1551155,SRR1573939,SRX870805,SRR403883,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627625,SRR1630831,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967	SRR1562539
ENST00000530021.5	ENSG00000133816.13	retained_intron	8	1	SRR970538,SRR1976443,SRR1976444,SRR1976446,SRR1976447,SRR627625,SRR810100,SRR3130940	SRR1173905
ENST00000515716.1	ENSG00000171540.7	processed_transcript	1	2	SRR3208897	SRR1173905,SRR970538
ENST00000549529.1	ENSG00000111145.7	processed_transcript	5	1	SRR1976444,SRR1976447,SRR627625,SRR810100,SRR3130940	SRR1042900
ENST00000465579.1	ENSG00000155363.18	processed_transcript	8	1	SRR1573939,SRR970538,SRR970588,SRR1976443,SRR1976446,SRR627625,SRR810100,SRR3680967	SRR1562541
ENST00000274513.9	ENSG00000145832.12	protein_coding	1	2	SRR1562542	SRR1173905,SRR1042900
ENST00000375156.3	ENSG00000204315.3	protein_coding	1	1	SRR3680967	SRR1042900
ENST00000410025.5	ENSG00000186973.10	nonsense_mediated_decay	2	6	SRR3208870,SRR3208885	SRR1562539,SRR1562540,SRR403889,SRR1042900,SRR970538,SRR1630831
ENST00000380130.6	ENSG00000139597.17	protein_coding	13	1	SRR1803188,SRR1562540,SRR1562541,SRR1562542,SRX870805,SRR1630831,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR627625
ENST00000564641.1	ENSG00000177200.15	nonsense_mediated_decay	7	1	SRR970565,SRR970588,SRR1976447,SRR3208864,SRR3208865,SRR3208870,SRR3208898	SRR1562539
ENST00000369516.6	ENSG00000134198.9	protein_coding	23	6	SRR1551155,SRX870805,SRR970490,SRR970565,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR3130941,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680968	SRR1803153,SRR1562542,SRR1562543,GSE48933,SRR1042900,SRR627625
ENST00000357450.8	ENSG00000077935.16	protein_coding	2	3	SRR970538,SRR970588	SRR1562539,SRR1042900,SRR3208870
ENST00000602258.1	ENSG00000063169.10	retained_intron	17	1	SRX474113,SRR1803151,SRR1551155,SRR935448,GSE48933,SRR1573939,SRX870805,SRR970565,SRR1976443,SRR810100,SRR3130940,SRR3130941,SRR3208865,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR627620
ENST00000304477.2	ENSG00000171794.3	protein_coding	1	1	SRX474113	SRR1562540
ENST00000620009.4	ENSG00000129173.12	protein_coding	23	3	SRR1803147,SRR1803151,SRR1803153,SRR1551165,SRR1551155,SRR935448,GSE48933,SRX870805,SRR403889,SRR970561,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR1630831,SRR1507056,SRR1758379,SRR3208864,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968	SRR1562539,SRR1562543,SRR627625
ENST00000246657.2	ENSG00000126353.3	protein_coding	7	8	SRR1803147,SRR1803151,SRR1803186,SRR1803190,SRR3208871,SRR3208897,SRR3208898	SRR1562542,SRR1562543,SRR935448,SRR1042900,SRR1976444,SRR627621,SRR810100,SRR1758378
ENST00000380593.4	ENSG00000241690.3	protein_coding	1	1	SRR3680967	SRR627625
ENST00000411406.3	ENSG00000180098.9	processed_transcript	1	1	SRR3208864	SRR627620
ENST00000334025.2	ENSG00000186479.4	protein_coding	8	1	SRR1562540,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208886,SRR3208897,SRR3208898	SRR403889
ENST00000509176.5	ENSG00000184305.14	protein_coding	12	1	SRR1173905,SRR1803151,SRR1562540,SRX870805,SRR970565,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR1042900
ENST00000462214.5	ENSG00000197381.15	processed_transcript	5	1	SRR970538,SRR970565,SRR3680967,SRR3680968,SRR3680969	SRR627620
ENST00000519560.5	ENSG00000184347.14	protein_coding	22	1	SRR1551155,SRR1562539,SRR1562540,SRR935448,SRR935449,SRX870805,SRR970565,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000417194.5	ENSG00000272578.5	processed_transcript	1	11	SRR3208898	SRR1551155,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR935449,SRR403889,SRR1042900,SRR1976446,SRR627620,SRR627621
ENST00000394209.6	ENSG00000141738.13	protein_coding	2	1	SRR1976446,SRR3680968	SRR1562541
ENST00000429260.6	ENSG00000160345.12	protein_coding	24	1	SRX474113,SRR1562542,SRR1573939,SRX870805,SRR403889,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976444,SRR1976446,SRR1976447,SRR1630831,SRR3130940,SRR1758378,SRR3208864,SRR3208870,SRR3208886,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR627620
ENST00000407991.2	ENSG00000120903.11	protein_coding	1	1	SRR1562540	SRR931815
ENST00000400113.7	ENSG00000198033.11	protein_coding	1	1	SRR1551155	SRR931815
ENST00000627582.2	ENSG00000197959.13	protein_coding	24	1	SRR1173905,SRX474113,SRR1551165,SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,GSE48933,SRX870805,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR627625,SRR3130941,SRR3208864,SRR3208865,SRR3208871,SRR3208885,SRR3208886,SRR3208898,SRR3680966	SRR627620
ENST00000242839.8	ENSG00000123191.14	protein_coding	32	1	SRX474113,SRR1551165,SRR1551155,SRR1562540,SRR1562542,SRR935448,GSE48933,SRR1573939,SRX870805,SRR403883,SRR1042900,SRR970538,SRR970565,SRR970587,SRR970588,SRR1976445,SRR1976447,SRR627625,SRR810100,SRR1630831,SRR1507056,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680967	SRR627620
ENST00000487450.1	ENSG00000143801.16	processed_transcript	5	2	SRR935448,SRX870805,SRR3130940,SRR3208864,SRR3680969	SRR627620,SRR627621
ENST00000303927.3	ENSG00000170955.9	protein_coding	21	2	SRR1803151,SRR1803188,SRR1803190,SRR1562542,SRR935448,SRR935449,GSE48933,SRR970538,SRR970561,SRR970565,SRR970588,SRR627620,SRR627621,SRR627625,SRR3130940,SRR1758378,SRR1758379,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1173905,SRR1562543
ENST00000497524.5	ENSG00000144891.17	protein_coding	3	4	GSE48933,SRR970538,SRR1758378	SRR1173905,SRR1562539,SRR1042900,SRR627621
ENST00000475791.5	ENSG00000243797.6	sense_overlapping	1	3	SRR403883	SRR1803188,SRR627625,SRR810100
ENST00000634942.1	ENSG00000282851.1	lincRNA	2	3	SRR970565,SRR3680967	SRR1976445,SRR1630831,SRR3208870
ENST00000378961.8	ENSG00000089199.9	protein_coding	15	2	SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,GSE48933,SRX870805,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900,SRR1630831
ENST00000555479.1	ENSG00000129474.15	retained_intron	13	1	SRR970565,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627625,SRR3130940,SRR3130941,SRR1758378,SRR1758379	SRR1562543
ENST00000500370.2	ENSG00000247092.6	antisense	1	1	SRR3680966	SRR1562539
ENST00000461511.1	ENSG00000187098.14	processed_transcript	2	1	SRR970490,SRR970565	SRR627620
ENST00000505879.1	ENSG00000087206.16	processed_transcript	5	2	SRR1803151,SRX870805,SRR970538,SRR970588,SRR1976448	SRR1562540,SRR627621
ENST00000440377.2	ENSG00000237188.3	antisense	3	4	SRR3208864,SRR3208871,SRR3208898	SRX474113,SRR1562541,SRR1042900,SRR627620
ENST00000475644.5	ENSG00000137098.13	nonsense_mediated_decay	6	2	SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897	SRR1042900,SRR627621
ENST00000316105.6	ENSG00000177839.6	protein_coding	9	1	SRR1562540,SRR1562542,SRR403889,SRR3130940,SRR1758378,SRR1758379,SRR3208871,SRR3208885,SRR3208897	SRR1173905
ENST00000377494.5	ENSG00000068831.18	protein_coding	17	1	SRR1803151,SRR1803153,SRR1803188,SRR1803190,SRR1562540,SRR1562542,SRX870805,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR627625
ENST00000405331.3	ENSG00000071575.11	protein_coding	19	1	SRR1562540,SRR1562542,SRR1562543,SRR935448,GSE48933,SRX870805,SRR970538,SRR1976444,SRR1976447,SRR810100,SRR1630831,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208898	SRR627620
ENST00000530879.1	ENSG00000197363.9	retained_intron	6	1	SRR1562540,SRR970565,SRR3208871,SRR3208885,SRR3208886,SRR3208897	SRR1042900
ENST00000447411.5	ENSG00000139209.15	protein_coding	9	2	SRR1551155,GSE48933,SRR1573939,SRR810100,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864	SRR1562539,SRR970588
ENST00000616513.1	ENSG00000253710.2	protein_coding	9	4	SRR1803190,SRR970538,SRR970565,SRR1976446,SRR810100,SRR3208885,SRR3208898,SRR3680968,SRR3680969	SRR1562539,SRR1562541,SRR627620,SRR627621
ENST00000395116.1	ENSG00000181619.11	protein_coding	6	4	SRR403889,SRR3208864,SRR3208870,SRR3208885,SRR3208897,SRR3208898	SRR1173905,SRR1551165,SRR1042900,SRR3130941
ENST00000436629.2	ENSG00000225110.2	protein_coding	4	1	SRR1562540,SRR3208865,SRR3208885,SRR3208898	SRR1042900
ENST00000233535.8	ENSG00000115194.10	protein_coding	11	1	SRX474113,SRR1562539,SRR1562540,SRR1562541,GSE48933,SRX870805,SRR1758378,SRR1758379,SRR3208865,SRR3680967,SRR3680969	SRR970588
ENST00000545802.1	ENSG00000110900.14	protein_coding	7	2	SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR1803147,SRR1562539
ENST00000420850.1	ENSG00000223797.5	antisense	10	1	SRR1803151,GSE48933,SRR970538,SRR970561,SRR970565,SRR1976444,SRR3208865,SRR3208870,SRR3680968,SRR3680969	SRR1562539
ENST00000514665.1	ENSG00000145390.11	retained_intron	12	1	SRR935448,SRR935449,SRX870805,SRR970588,SRR1976444,SRR1976445,SRR1976447,SRR1976448,SRR627625,SRR810100,SRR3130940,SRR3130941	SRR1562542
ENST00000177694.1	ENSG00000073861.2	protein_coding	4	1	SRR1803147,SRR1803186,SRR1803188,SRR1803190	SRR1042900
ENST00000383168.8	ENSG00000171885.13	protein_coding	13	4	SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1173905,SRR1803153,SRR1042900,SRR1507056
ENST00000587128.1	ENSG00000267058.1	lincRNA	1	2	SRR3208871	SRR1173905,SRX474113
ENST00000392987.7	ENSG00000160961.11	retained_intron	8	1	SRR935449,SRR970538,SRR970565,SRR1976445,SRR1976447,SRR810100,SRR3208870,SRR3208871	SRR1042900
ENST00000392052.7	ENSG00000006659.12	protein_coding	3	1	SRR1803147,SRR1803151,SRR1803190	SRR1042900
ENST00000596209.3	ENSG00000213973.8	protein_coding	2	2	SRR1758378,SRR1758379	SRR1562539,SRR1042900
ENST00000380069.7	ENSG00000205436.7	protein_coding	1	1	SRR3680966	SRR1173905
ENST00000373087.6	ENSG00000163874.8	protein_coding	34	1	SRX474113,SRR1803147,SRR1803151,SRR1803153,SRR1803186,SRR1803188,SRR1803190,SRR935448,GSE48933,SRR1573939,SRX870804,SRX870805,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627625,SRR810100,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562540
ENST00000557399.1	ENSG00000258548.5	lincRNA	1	6	SRR3208865	SRR1551155,SRR1562539,SRR1562543,SRX870804,SRX870805,SRR1042900
ENST00000344300.3	ENSG00000166920.10	protein_coding	6	5	SRR1573939,SRR970565,SRR970588,SRR627625,SRR3130940,SRR3130941	SRR1562539,SRR1976444,SRR627620,SRR627621,SRR3208898
ENST00000544503.5	ENSG00000108352.11	protein_coding	7	1	SRR1803188,SRR1803190,SRR1562540,SRR1562541,GSE48933,SRR1758378,SRR3208885	SRR1042900
ENST00000559272.1	ENSG00000169330.8	nonsense_mediated_decay	5	3	SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208897	SRR1976443,SRR627625,SRR3680969
ENST00000367071.4	ENSG00000160307.9	protein_coding	10	1	SRR1562540,SRR1562541,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR970538
ENST00000554980.5	ENSG00000119699.7	retained_intron	2	9	SRR970538,SRR3208870	SRR935448,SRR1042900,SRR970587,SRR970588,SRR1976445,SRR1976446,SRR627620,SRR627621,SRR810100
ENST00000436950.5	ENSG00000225889.7	antisense	1	4	SRR3208870	SRX474113,SRR1562541,SRR1042900,SRR1758378
ENST00000492925.1	ENSG00000243422.1	processed_pseudogene	2	4	SRR3208865,SRR3208870	SRR935448,SRR1042900,SRR810100,SRR1758379
ENST00000443585.5	ENSG00000235162.8	protein_coding	43	4	SRR1803186,SRR1551165,SRR935448,SRR935449,GSE48933,SRR1573939,SRR931815,SRX870804,SRX870805,SRR403883,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627620,SRR627621,SRR627625,SRR810100,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562539,SRR1562540,SRR1562543,SRR1042900
ENST00000402394.5	ENSG00000138028.14	protein_coding	22	1	SRR1551155,SRR1562540,GSE48933,SRX870805,SRR403883,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR627625,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000432997.5	ENSG00000197584.11	protein_coding	4	4	SRR3208864,SRR3208865,SRR3208870,SRR3208898	SRR1803188,SRR935448,SRR970587,SRR627625
ENST00000612503.1	ENSG00000253846.2	protein_coding	13	2	SRR1562540,SRR1562543,SRR970565,SRR627625,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208898	SRR1042900,SRR1630831
ENST00000450056.6	ENSG00000072609.17	protein_coding	7	1	SRR1573939,SRR403889,SRR970588,SRR1976446,SRR1758378,SRR1758379,SRR3208885	SRR1042900
ENST00000484092.1	ENSG00000239268.2	lincRNA	6	1	SRR1562540,SRR1562542,SRR3208865,SRR3208885,SRR3208897,SRR3208898	SRR1551155
ENST00000411689.6	ENSG00000153291.15	protein_coding	1	1	SRR1562541	SRR1758378
ENST00000493012.2	ENSG00000128805.14	processed_transcript	2	3	SRR935448,GSE48933	SRR1803147,SRR1562539,SRR1042900
ENST00000493688.5	ENSG00000124224.16	processed_transcript	6	2	SRR970565,SRR1976446,SRR1630831,SRR3130940,SRR3130941,SRR3208865	SRR1562539,SRR1562542
ENST00000465435.1	ENSG00000131503.20	retained_intron	6	1	SRR1803151,SRR1803188,SRX870805,SRR1976448,SRR627625,SRR3208864	SRR1507056
ENST00000311034.6	ENSG00000174576.8	protein_coding	1	7	SRR1562540	SRR1803153,SRR1562542,SRR1562543,SRR935448,SRR935449,SRR627625,SRR810100
ENST00000370005.3	ENSG00000119915.4	protein_coding	1	4	SRR970565	SRR1562539,SRR627621,SRR3130940,SRR3208886
ENST00000552864.5	ENSG00000111052.7	protein_coding	21	1	SRX474113,SRR1803186,SRR1803188,SRR1551165,SRR1551155,SRR1562540,SRR935448,GSE48933,SRX870804,SRX870805,SRR970538,SRR627625,SRR1630831,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000536667.5	ENSG00000173264.13	protein_coding	7	1	SRR931815,SRR970588,SRR1976444,SRR1976447,SRR3208871,SRR3680966,SRR3680967	SRR627620
ENST00000480770.5	ENSG00000132010.15	processed_transcript	2	3	SRR403889,SRR3208865	SRR627621,SRR627625,SRR1630831
ENST00000486104.5	ENSG00000171811.12	retained_intron	1	1	SRR3208885	SRR1562542
ENST00000469372.5	ENSG00000166278.14	protein_coding	1	5	SRR1573939	SRR1803151,SRR1562539,GSE48933,SRR1976444,SRR1976447
ENST00000451963.1	ENSG00000066923.17	nonsense_mediated_decay	8	9	SRR1803147,SRR1803151,SRR1803153,SRR1803186,SRR1803188,SRR1803190,SRR1758378,SRR1758379	SRR1562539,SRR1562543,SRR403883,SRR403889,SRR1042900,SRR627620,SRR627625,SRR810100,SRR3680966
ENST00000427054.5	ENSG00000234362.5	lincRNA	1	1	SRR3680967	SRR1803188
ENST00000509896.5	ENSG00000150471.15	protein_coding	14	1	SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRX870805,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000527428.5	ENSG00000150787.7	retained_intron	11	1	SRX474113,SRR1551155,SRR935449,SRR970490,SRR970565,SRR1976443,SRR1976447,SRR1976448,SRR627625,SRR3130940,SRR3208885	SRR1562539
ENST00000622509.4	ENSG00000153094.21	protein_coding	19	2	SRX474113,SRR1573939,SRX870805,SRR970538,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976448,SRR1630831,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898,SRR3680969	SRR627620,SRR627621
ENST00000225276.9	ENSG00000070731.9	protein_coding	4	3	SRR970565,SRR1976445,SRR1758378,SRR1758379	SRR1173905,SRR1562539,SRR1042900
ENST00000607353.1	ENSG00000272369.1	lincRNA	1	14	SRR1803188	SRX474113,SRR1551155,SRR1562539,SRR1562542,SRR1562543,SRR1042900,SRR1910731,SRR1976447,SRR627620,SRR627621,SRR1630831,SRR3130940,SRR3130941,SRR3208864
ENST00000558374.5	ENSG00000196547.14	retained_intron	6	1	SRR1562540,SRR1976447,SRR627625,SRR1758378,SRR1758379,SRR3208865	SRR627621
ENST00000305409.2	ENSG00000171951.4	protein_coding	26	2	SRR1551155,SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR1573939,SRR970490,SRR970561,SRR970565,SRR970588,SRR1976443,SRR1976448,SRR627625,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR403889,SRR1630831
ENST00000274793.11	ENSG00000146070.16	protein_coding	12	1	SRR1551155,SRR1562540,SRR1562542,SRX870805,SRR403883,SRR403889,SRR1910731,SRR1910735,SRR3208865,SRR3208885,SRR3208897,SRR3208898	SRR1042900
ENST00000598523.2	ENSG00000268089.2	protein_coding	16	2	SRR1562540,SRR1562541,SRR1562542,GSE48933,SRR970538,SRR970561,SRR970565,SRR970588,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRX870805,SRR1630831
ENST00000450795.5	ENSG00000156113.20	protein_coding	11	1	SRR403883,SRR403889,SRR1976445,SRR1976446,SRR1976447,SRR810100,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR627620
ENST00000354323.2	ENSG00000196196.2	protein_coding	3	7	SRR1573939,SRR970561,SRR970587	SRR1562540,SRR403883,SRR1976446,SRR627621,SRR627625,SRR3208865,SRR3208897
ENST00000554449.1	ENSG00000151320.10	processed_transcript	5	2	SRR1562540,SRR3208864,SRR3208870,SRR3208897,SRR3208898	SRR1803188,SRR1507056
ENST00000309880.5	ENSG00000173825.6	protein_coding	12	3	SRR931815,SRX870805,SRR970490,SRR970538,SRR970565,SRR3208864,SRR3208865,SRR3208870,SRR3208885,SRR3208897,SRR3208898,SRR3680966	SRR1562539,SRR935448,SRR627625
ENST00000421424.1	ENSG00000229230.3	processed_pseudogene	1	3	SRR1976445	SRX474113,SRX870805,SRR1630831
ENST00000540609.5	ENSG00000256223.5	protein_coding	2	1	SRX870805,SRR970565	SRR1562539
ENST00000368061.2	ENSG00000162738.5	protein_coding	19	1	SRX474113,SRR1551165,SRR1551155,SRR1562540,SRR1562542,SRR1562543,SRX870804,SRX870805,SRR1976443,SRR1630831,SRR1507056,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000249749.6	ENSG00000128917.6	protein_coding	11	2	SRR1562542,SRR935448,GSE48933,SRX870805,SRR627625,SRR1758378,SRR1758379,SRR3208865,SRR3208885,SRR3208898,SRR3680969	SRR1562540,SRR931815
ENST00000557687.1	ENSG00000258598.1	lincRNA	3	3	SRR3208864,SRR3208885,SRR3208898	SRR1562540,SRR1042900,SRR3208886
ENST00000382968.9	ENSG00000178222.12	protein_coding	11	3	SRR1803188,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1803153,SRR1562541,SRR627625
ENST00000341319.7	ENSG00000172578.11	protein_coding	6	3	SRR1803147,SRR1803151,SRR1803153,SRR1803188,SRR1803190,SRR1562542	SRR1562539,SRR1562540,SRR1042900
ENST00000302692.6	ENSG00000171612.6	protein_coding	9	1	SRR970587,SRR970588,SRR1976443,SRR1630831,SRR1758378,SRR3208864,SRR3208870,SRR3208886,SRR3680966	SRR1042900
ENST00000599628.5	ENSG00000130529.15	protein_coding	4	2	SRR1976447,SRR627625,SRR3208864,SRR3208871	SRR1803151,SRR1562543
ENST00000569511.5	ENSG00000103194.15	processed_transcript	11	1	SRR935448,SRR970538,SRR970565,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR810100,SRR3680967	SRR1562543
ENST00000247153.7	ENSG00000126759.12	protein_coding	4	6	SRR1803190,SRR1573939,SRR3130940,SRR3130941	SRX474113,SRR1562540,SRR1562543,SRR970490,SRR970565,SRR1976446
ENST00000548058.5	ENSG00000111058.7	protein_coding	20	1	SRX474113,SRR1551155,SRR1562540,SRR935449,GSE48933,SRR1573939,SRX870804,SRX870805,SRR627625,SRR810100,SRR1630831,SRR3130940,SRR3130941,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR970588
ENST00000342753.8	ENSG00000162576.16	protein_coding	28	2	SRR1551155,SRR1562540,SRR1562542,SRR1562543,SRR935448,SRR935449,SRR1573939,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627620,SRR627621,SRR627625,SRR810100,SRR3130940,SRR3130941,SRR1507056,SRR1758378,SRR1758379,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR970587,SRR3680969
ENST00000263182.7	ENSG00000129151.8	protein_coding	12	1	SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000475900.1	ENSG00000189350.12	retained_intron	4	1	SRR970490,SRR970538,SRR970565,SRR970588	SRR1173905
ENST00000518352.1	ENSG00000066855.15	retained_intron	18	2	SRX474113,SRR1551165,GSE48933,SRX870805,SRR403889,SRR970490,SRR970538,SRR970565,SRR970588,SRR1976443,SRR1976445,SRR1976446,SRR1976447,SRR627625,SRR1630831,SRR1758379,SRR3680966,SRR3680968	SRR1562539,SRR627620
ENST00000490075.5	ENSG00000117122.13	processed_transcript	3	2	SRR970490,SRR970565,SRR970588	SRR1562542,SRR1042900
ENST00000480373.1	ENSG00000185009.12	processed_transcript	5	1	SRR1562542,SRR1976444,SRR627625,SRR810100,SRR1758379	SRR1507056
ENST00000496491.1	ENSG00000240541.2	antisense	5	4	SRR970565,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR403883,SRR810100,SRR3130940,SRR3130941
